الرياض;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;113;16;129;57;72;129;28;32;39;21;9;129;64;65;129
صفر;132;8;140;57;83;140;23;35;39;25;18;140;84;56;140
ربيع أول;124;8;132;66;66;132;10;52;47;20;3;132;66;66;132
ربيع ثانى;135;13;148;64;84;148;28;49;34;21;16;148;85;63;148
جمادى أول;100;23;123;45;78;123;19;43;37;17;7;123;69;54;123
جمادى ثانى;82;12;94;43;51;94;14;24;33;15;8;94;63;31;94
رجب;113;7;120;65;55;120;17;24;37;35;7;120;69;51;120
شعبان;90;7;97;47;50;97;9;19;36;27;6;97;51;46;97
رمضان;111;12;123;63;60;123;25;23;56;7;12;123;50;73;123
شوال;92;15;107;31;76;107;18;29;33;15;12;107;66;41;107
ذى القعدة;84;5;89;36;53;89;18;42;15;8;6;89;32;57;89
ذى الحجة;86;11;97;46;51;97;19;23;27;17;11;97;49;48;97
المجموع;1262;137;1399;620;779;1399;228;395;433;228;115;1399;748;651;1399
المدينه المنوره;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;38;2;40;5;35;40;0;8;24;4;4;40;28;12;40
صفر;48;9;57;10;47;57;2;16;22;10;7;57;32;25;57
ربيع أول;44;5;49;17;32;49;5;9;10;15;10;49;29;20;49
ربيع ثانى;37;15;52;13;39;52;5;8;17;18;4;52;15;37;52
جمادى أول;25;4;29;7;22;29;2;9;10;5;3;29;14;15;29
جمادى ثانى;37;10;47;12;35;47;4;7;14;13;9;47;17;30;47
رجب;42;8;50;20;30;50;5;8;18;12;7;50;19;31;50
شعبان;42;8;50;12;38;50;5;11;15;13;6;50;30;20;50
رمضان;46;12;58;5;53;58;5;11;17;15;10;58;18;40;58
شوال;42;12;54;13;41;54;8;13;14;12;7;54;21;33;54
ذى القعدة;32;11;43;13;30;43;4;9;11;12;7;43;19;24;43
ذى الحجة;40;11;51;8;43;51;4;11;12;14;10;51;20;31;51
المجموع;473;107;580;135;445;580;49;120;184;143;84;580;262;318;580
الشرقيه;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;82;18;100;34;66;100;11;33;31;16;9;100;43;57;100
صفر;63;7;70;23;47;70;7;26;18;15;4;70;47;23;70
ربيع أول;59;10;69;12;57;69;10;28;19;7;5;69;37;32;69
ربيع ثانى;93;10;103;47;56;103;12;31;36;15;9;103;69;34;103
جمادى أول;73;7;80;18;62;80;5;31;24;11;9;80;47;33;80
جمادى ثانى;78;4;82;29;53;82;10;28;23;12;9;82;49;33;82
رجب;63;8;71;26;45;71;5;27;22;13;4;71;34;37;71
شعبان;57;5;62;14;48;62;4;15;20;14;9;62;30;32;62
رمضان;65;0;65;41;24;65;7;17;31;6;4;65;36;29;65
شوال;80;18;98;17;81;98;13;24;26;19;16;98;48;50;98
ذى القعدة;62;7;69;11;58;69;7;22;22;14;4;69;39;30;69
ذى الحجة;81;13;94;20;74;94;13;33;21;17;10;94;51;43;94
المجموع;856;107;963;292;671;963;104;315;293;159;92;963;530;433;963
الحدود الشماليه;عدد الأشخاص المتوفين حسب الجنس;;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;7;1;8;3;5;8;2;4;1;0;1;8;6;2;8
صفر;7;0;7;1;6;7;0;2;2;1;2;7;3;4;7
ربيع أول;11;0;11;4;7;11;1;3;2;3;2;11;7;4;11
ربيع ثانى;11;0;11;1;10;11;1;3;3;2;2;11;7;4;11
جمادى أول;13;1;14;2;12;14;1;5;6;1;1;14;11;3;14
جمادى ثانى;8;0;8;1;7;8;0;4;3;1;0;8;4;4;8
رجب;9;2;11;1;10;11;0;3;3;0;5;11;8;3;11
شعبان;6;2;8;3;5;8;0;2;2;2;2;8;6;2;8
رمضان;7;5;12;1;11;12;6;4;2;0;0;12;4;8;12
