الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
تـبـوك;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;22;2;24;5;19;24;2;12;3;2;5;24;20;4;24
صفر;22;1;23;10;13;23;3;13;1;2;4;23;18;5;23
ربيع أول;25;9;34;6;28;34;7;11;8;3;5;34;29;5;34
ربيع ثانى;20;1;21;5;16;21;1;7;6;2;5;21;16;5;21
جمادى أول;26;4;30;6;24;30;5;13;6;5;1;30;21;9;30
جمادى ثانى;15;1;16;1;15;16;1;4;6;5;0;16;10;6;16
رجب;17;2;19;3;16;19;0;11;4;0;4;19;11;8;19
شعبان;18;1;19;3;16;19;3;9;2;1;4;19;17;2;19
رمضان;35;5;40;5;35;40;6;15;11;2;6;40;26;14;40
شوال;24;4;28;3;25;28;3;10;8;5;2;28;25;3;28
ذى القعدة;17;4;21;2;19;21;3;5;7;4;2;21;10;11;21
ذى الحجة;15;3;18;2;16;18;2;4;5;4;3;18;14;4;18
المجموع;256;37;293;51;242;293;36;114;67;35;41;293;217;76;293
الجـــــوف;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;8;0;8;4;4;8;1;4;1;2;0;8;4;4;8
صفر;9;0;9;5;4;9;2;4;3;0;0;9;9;0;9
ربيع أول;4;2;6;2;4;6;1;1;2;2;0;6;4;2;6
ربيع ثانى;9;0;9;1;8;9;0;4;4;1;0;9;7;2;9
جمادى أول;5;0;5;2;3;5;1;0;2;2;0;5;2;3;5
جمادى ثانى;9;2;11;1;10;11;2;4;3;0;2;11;9;2;11
رجب;6;1;7;3;4;7;2;1;3;0;1;7;7;0;7
شعبان;8;2;10;3;7;10;3;3;2;0;2;10;6;4;10
رمضان;6;3;9;2;7;9;4;3;0;2;0;9;9;0;9
شوال;7;5;12;0;12;12;3;6;1;2;0;12;10;2;12
ذى القعدة;10;0;10;1;9;10;1;6;1;1;1;10;8;2;10
ذى الحجة;4;2;6;1;5;6;1;2;0;1;2;6;5;1;6
المجموع;85;17;102;25;77;102;21;38;22;13;8;102;80;22;102
