الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
شعبان;25;1;26;5;21;26;3;9;10;3;1;26;19;7;26
رمضان;30;6;36;7;29;36;5;12;8;6;5;36;24;12;36
شوال;19;4;23;5;18;23;4;9;6;3;1;23;15;8;23
ذى القعدة;40;11;51;15;36;51;8;19;13;9;2;51;42;9;51
ذى الحجة;28;5;33;5;28;33;3;15;11;3;1;33;21;12;33
المجموع;355;79;434;93;341;434;67;147;112;66;42;434;313;121;434
الجوف;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;20;1;21;5;16;21;5;7;5;3;1;21;12;9;21
صفر;13;0;13;3;10;13;0;9;1;2;1;13;9;4;13
ربيع أول;12;0;12;3;9;12;3;2;3;1;3;12;9;3;12
ربيع ثانى;16;2;18;9;9;18;3;8;7;0;0;18;15;3;18
جمادى أول;10;1;11;7;4;11;0;8;2;0;1;11;11;0;11
جمادى ثانى;7;3;10;1;9;10;2;7;0;1;0;10;7;3;10
رجب;13;2;15;6;9;15;3;5;6;1;0;15;11;4;15
شعبان;12;3;15;2;13;15;5;5;3;1;1;15;12;3;15
رمضان;12;4;16;1;15;16;3;5;3;3;2;16;14;2;16
شوال;11;0;11;9;2;11;4;1;2;2;2;11;5;6;11
ذى القعدة;14;2;16;3;13;16;2;6;2;2;4;16;14;2;16
ذى الحجة;15;3;18;3;15;18;5;5;4;0;4;18;12;6;18
المجموع;155;21;176;52;124;176;35;68;38;16;19;176;131;45;176
حائل;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
