الشهر;سنة;المدينة;ذكور;أناث;داخل المدينه;خارج المدينه;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;سعودى;غير سعودى;المصابين;المتوفين
4;1437;الحدود الشماليه;27;3;23;7;4;10;4;4;8;23;7;0;1
5;1437;الحدود الشماليه;8;2;2;8;1;4;2;1;2;9;1;0;1
6;1437;الحدود الشماليه;20;2;2;20;1;8;7;6;0;18;4;0;1
7;1437;الحدود الشماليه;12;0;4;8;1;5;1;1;4;8;4;0;1
8;1437;الحدود الشماليه;9;3;2;10;4;2;0;2;4;9;3;0;1
9;1437;الحدود الشماليه;11;4;2;13;2;6;4;2;1;3;12;0;1
10;1437;الحدود الشماليه;7;5;1;11;2;4;3;1;2;12;0;0;1
11;1437;الحدود الشماليه;18;0;5;13;5;3;5;2;3;9;9;0;1
12;1437;الحدود الشماليه;14;4;5;13;5;7;5;0;1;10;8;0;1
1;1437;تبوك;28;12;8;32;8;10;9;7;6;29;11;0;1
2;1437;تبوك;37;13;10;40;6;12;14;7;11;40;10;0;1
3;1437;تبوك;35;5;11;29;4;21;8;4;3;28;12;0;1
4;1437;تبوك;38;15;8;45;10;21;8;11;3;32;21;0;1
5;1437;تبوك;26;1;4;23;1;7;11;3;5;19;8;0;1
6;1437;تبوك;24;3;5;22;7;6;7;5;2;22;5;0;1
7;1437;تبوك;25;3;10;18;8;6;7;5;2;22;6;0;1
8;1437;تبوك;25;1;5;21;3;9;10;3;1;19;7;0;1
9;1437;تبوك;30;6;7;29;5;12;8;6;5;24;12;0;1
10;1437;تبوك;19;4;5;18;4;9;6;3;1;15;8;0;1
11;1437;تبوك;40;11;15;36;8;19;13;9;2;42;9;0;1
12;1437;تبوك;28;5;5;28;3;15;11;3;1;21;12;0;1
1;1437;الجوف;20;1;5;16;5;7;5;3;1;12;9;0;1
2;1437;الجوف;13;0;3;10;0;9;1;2;1;9;4;0;1
3;1437;الجوف;12;0;3;9;3;2;3;1;3;9;3;0;1
4;1437;الجوف;16;2;9;9;3;8;7;0;0;15;3;0;1
5;1437;الجوف;10;1;7;4;0;8;2;0;1;11;0;0;1
6;1437;الجوف;7;3;1;9;2;7;0;1;0;7;3;0;1
7;1437;الجوف;13;2;6;9;3;5;6;1;0;11;4;0;1
8;1437;الجوف;12;3;2;13;5;5;3;1;1;12;3;0;1
9;1437;الجوف;12;4;1;15;3;5;3;3;2;14;2;0;1
10;1437;الجوف;11;0;9;2;4;1;2;2;2;5;6;0;1
11;1437;الجوف;14;2;3;13;2;6;2;2;4;14;2;0;1
12;1437;الجوف;15;3;3;15;5;5;4;0;4;12;6;0;1
1;1437;حائل;27;7;11;23;2;11;10;8;3;31;3;0;1
2;1437;حائل;32;1;10;23;8;8;7;5;5;26;7;0;1
3;1437;حائل;18;3;9;12;3;8;3;5;2;16;5;0;1
4;1437;حائل;24;1;14;11;1;11;7;4;2;19;6;0;1
5;1437;حائل;21;1;14;8;3;11;2;3;3;18;4;0;1
6;1437;حائل;28;3;18;13;4;19;6;0;2;27;4;0;1
7;1437;حائل;23;2;11;14;1;10;8;4;2;10;15;0;1
8;1437;حائل;24;3;12;15;0;13;7;6;1;21;6;0;1
9;1437;حائل;16;2;10;8;1;7;5;3;2;12;6;0;1
10;1437;حائل;19;3;9;13;1;8;5;6;2;15;7;0;1
11;1437;حائل;21;7;6;22;3;12;6;4;3;19;9;0;1
12;1437;حائل;11;2;5;8;1;4;3;3;2;11;2;0;1
1;1437;نجران;16;0;10;6;2;9;2;2;1;12;4;0;1
2;1437;نجران;8;0;5;3;2;5;0;1;0;3;5;0;1
3;1437;نجران;11;0;6;5;5;4;1;0;1;10;1;0;1
4;1437;نجران;19;5;4;20;6;10;7;0;1;12;12;0;1
5;1437;نجران;13;3;3;13;3;7;2;1;3;4;12;0;1
6;1437;نجران;5;1;3;3;1;2;2;0;1;4;2;0;1
7;1437;نجران;8;1;5;4;4;3;1;0;1;5;4;0;1
8;1437;نجران;18;4;7;15;1;6;8;3;4;6;16;0;1
9;1437;نجران;15;1;3;13;2;9;2;1;2;11;5;0;1
10;1437;نجران;16;1;7;10;3;7;3;3;1;10;7;0;1
11;1437;نجران;9;0;2;7;2;3;2;2;0;5;4;0;1
12;1437;نجران;19;0;7;12;2;3;3;2;9;9;10;0;1
1;1437;القصيم;34;3;18;19;4;14;10;3;6;26;11;0;1
2;1437;القصيم;23;2;14;11;2;12;6;3;2;13;12;0;1
3;1437;القصيم;22;2;14;10;4;12;7;1;0;13;11;0;1
4;1437;القصيم;20;2;10;12;0;10;8;2;2;15;7;0;1
5;1437;القصيم;35;5;13;27;4;20;8;4;4;23;17;0;1
6;1437;القصيم;29;1;12;18;2;20;4;2;2;21;9;0;1
7;1437;القصيم;27;7;16;18;5;10;13;3;3;25;9;0;1
8;1437;القصيم;21;4;7;18;6;8;9;0;2;13;12;0;1
9;1437;القصيم;44;9;20;33;13;9;19;5;7;19;34;0;1
10;1437;القصيم;31;1;15;17;3;5;15;8;1;16;16;0;1
11;1437;القصيم;37;4;22;19;4;15;12;6;4;29;12;0;1
12;1437;القصيم;33;1;20;14;2;9;20;2;1;22;12;0;1
1;1437;الباحه;4;1;5;0;0;2;0;2;1;2;3;0;1
2;1437;الباحه;15;0;11;4;1;7;2;0;5;11;4;0;1
3;1437;الباحه;14;1;12;3;1;8;2;0;4;8;7;0;1
4;1437;الباحه;9;0;5;4;4;2;2;0;1;9;0;0;1
5;1437;الباحه;16;1;9;8;1;9;3;3;1;13;4;0;1
6;1437;الباحه;13;5;15;3;1;9;1;4;3;13;5;0;1
7;1437;الباحه;15;0;8;7;2;7;3;1;2;11;4;0;1
8;1437;الباحه;15;1;4;12;2;7;2;1;4;12;4;0;1
9;1437;الباحه;13;2;10;5;1;7;2;2;3;11;4;0;1
10;1437;الباحه;13;7;9;11;5;9;0;1;5;17;3;0;1
11;1437;الباحه;21;4;15;10;4;5;10;2;4;19;6;0;1
12;1437;الباحه;12;3;7;8;8;4;1;1;1;13;2;0;1
1;1437;عسير;67;5;0;72;9;37;12;3;11;57;15;0;1
2;1437;عسير;59;2;5;56;5;25;23;3;5;38;23;0;1
3;1437;عسير;80;8;7;81;13;38;19;5;13;69;19;0;1
4;1437;عسير;62;5;5;62;9;27;8;10;13;50;17;0;1
5;1437;عسير;48;4;1;51;6;22;9;8;7;41;11;0;1
6;1437;عسير;87;19;2;104;24;39;21;12;10;79;27;0;1
7;1437;عسير;87;5;7;85;12;41;18;8;13;69;23;0;1
8;1437;عسير;64;13;2;75;16;29;10;8;14;61;16;0;1
9;1437;عسير;97;16;5;108;23;40;26;13;11;66;47;0;1
10;1437;عسير;72;5;6;71;11;26;20;7;13;58;19;0;1
11;1437;عسير;79;6;6;79;9;38;12;9;17;64;21;0;1
12;1437;عسير;81;12;10;83;17;38;26;5;7;64;29;0;1
1;1437;جازان;32;3;1;34;6;9;11;4;5;24;11;0;1
2;1437;جازان;41;4;18;27;5;9;17;8;6;26;19;0;1
3;1437;جازان;39;2;2;39;6;18;12;4;1;30;11;0;1
4;1437;جازان;41;5;12;34;7;20;12;4;3;31;15;0;1
5;1437;جازان;44;9;15;38;11;18;10;7;7;41;12;0;1
6;1437;جازان;52;2;16;38;7;17;19;10;1;37;17;0;1
7;1437;جازان;33;3;13;23;4;14;10;1;7;26;10;0;1
8;1437;جازان;38;4;12;30;6;12;15;5;4;28;14;0;1
9;1437;جازان;37;1;12;26;14;11;9;0;4;29;9;0;1
10;1437;جازان;38;2;16;24;6;15;7;7;5;26;14;0;1
11;1437;جازان;29;6;3;32;8;14;7;5;1;25;10;0;1
12;1437;جازان;47;2;9;40;10;14;9;8;8;35;14;0;1
1;1437;جده;35;6;10;31;3;14;11;6;7;22;19;0;1
2;1437;جده;53;8;24;37;8;19;16;10;8;24;37;0;1
3;1437;جده;42;6;23;25;10;14;9;7;8;24;24;0;1
4;1437;جده;37;2;13;26;7;12;7;6;7;26;13;0;1
5;1437;جده;61;5;29;37;13;18;14;13;8;34;32;0;1
6;1437;جده;46;4;29;21;9;12;10;9;10;17;33;0;1
7;1437;جده;45;5;25;25;6;14;12;11;7;18;32;0;1
8;1437;جده;43;3;19;27;5;11;13;11;6;19;27;0;1
9;1437;جده;62;11;19;54;10;18;16;16;13;24;49;0;1
10;1437;جده;42;5;18;29;9;12;13;8;5;20;27;0;1
11;1437;جده;42;7;18;31;6;12;11;11;9;17;32;0;1
12;1437;جده;47;13;24;36;7;22;14;13;4;18;42;0;1
1;1437;الطائف;59;8;19;48;15;19;13;5;15;53;14;0;1
2;1437;الطائف;39;5;20;24;10;18;8;2;6;33;11;0;1
3;1437;الطائف;41;6;9;38;8;10;22;2;5;23;24;0;1
4;1437;الطائف;38;4;9;33;9;14;8;6;5;26;16;0;1
5;1437;الطائف;48;12;11;49;12;20;10;7;11;24;36;0;1
6;1437;الطائف;46;7;8;45;9;16;13;8;7;32;21;0;1
7;1437;الطائف;56;9;8;57;10;21;12;10;12;46;19;0;1
8;1437;الطائف;56;1;7;50;13;12;12;8;12;39;18;0;1
9;1437;الطائف;65;20;6;79;13;19;23;18;12;40;45;0;1
10;1437;الطائف;45;6;11;40;5;14;6;15;11;30;21;0;1
11;1437;الطائف;39;4;15;28;4;12;13;10;4;30;13;0;1
12;1437;الطائف;29;1;8;22;5;6;7;6;6;21;9;0;1
1;1437;العاصمه;72;10;16;66;10;16;7;2;47;57;25;0;1
2;1437;العاصمه;73;9;18;64;9;28;8;6;31;55;27;0;1
3;1437;العاصمه;73;9;9;73;7;18;2;3;52;56;26;0;1
4;1437;العاصمه;81;14;14;81;7;19;23;15;31;61;34;0;1
5;1437;العاصمه;60;7;12;55;8;18;8;7;26;43;24;0;1
6;1437;العاصمه;57;12;10;59;9;17;15;6;22;40;29;0;1
7;1437;العاصمه;53;18;17;54;10;8;11;8;34;40;31;0;1
8;1437;العاصمه;60;5;16;49;4;14;13;4;30;38;27;0;1
9;1437;العاصمه;102;32;28;106;10;20;18;22;64;65;69;0;1
10;1437;العاصمه;72;14;11;75;9;24;23;16;14;33;53;0;1
11;1437;العاصمه;63;8;27;44;6;15;18;5;27;37;34;0;1
12;1437;العاصمه;57;8;26;39;0;16;9;5;35;26;39;0;1
1;1437;القريات;5;0;1;4;0;2;1;0;2;4;1;0;1
2;1437;القريات;8;5;1;12;6;4;2;0;1;10;3;0;1
3;1437;القريات;4;0;0;4;0;2;1;0;1;3;1;0;1
4;1437;القريات;5;0;1;4;0;2;2;0;1;4;1;0;1
5;1437;القريات;7;0;3;4;3;2;1;0;1;6;1;0;1
6;1437;القريات;3;0;1;2;0;3;0;0;0;3;0;0;1
7;1437;القريات;0;0;0;0;0;0;0;0;0;0;0;0;1
8;1437;القريات;5;3;4;4;3;1;3;1;0;7;1;0;1
9;1437;القريات;8;0;3;5;5;0;3;0;0;4;4;0;1
10;1437;القريات;1;0;1;0;0;1;0;0;0;1;0;0;1
11;1437;القريات;4;1;3;2;1;1;2;0;1;5;0;0;1
12;1437;القريات;10;0;2;8;1;6;1;0;2;10;0;0;1
1;1437;الرياض;279;31;233;77;65;94;125;15;11;172;138;1;0
2;1437;الرياض;245;93;223;115;61;89;82;63;43;204;134;1;0
3;1437;الرياض;244;89;244;89;59;88;85;59;42;187;146;1;0
4;1437;الرياض;303;36;208;131;61;89;81;64;44;177;162;1;0
5;1437;الرياض;294;29;227;96;56;84;79;62;42;158;165;1;0
6;1437;الرياض;306;37;200;143;91;87;83;63;19;195;148;1;0
7;1437;الرياض;344;33;258;119;36;144;131;36;30;177;200;1;0
8;1437;الرياض;337;45;252;130;26;163;131;39;23;209;173;1;0
9;1437;الرياض;423;46;225;244;108;146;136;44;35;205;264;1;0
10;1437;الرياض;314;35;207;142;32;106;55;142;14;194;155;1;0
11;1437;الرياض;254;22;187;89;46;68;83;49;30;149;127;1;0
12;1437;الرياض;330;38;208;160;68;132;111;34;23;169;199;1;0
1;1437;المدينه المنوره;298;43;186;155;2;30;98;145;66;160;181;1;0
2;1437;المدينه المنوره;337;41;240;138;20;90;120;87;61;206;172;1;0
3;1437;المدينه المنوره;286;71;217;140;50;120;65;82;40;220;137;1;0
4;1437;المدينه المنوره;265;69;163;171;44;78;69;93;50;148;186;1;0
5;1437;المدينه المنوره;293;44;154;183;55;68;81;70;63;168;169;1;0
6;1437;المدينه المنوره;323;80;157;246;69;82;94;102;56;189;214;1;0
7;1437;المدينه المنوره;311;58;147;222;70;78;76;86;59;172;197;1;0
8;1437;المدينه المنوره;288;59;154;193;59;73;76;78;61;175;172;1;0
9;1437;المدينه المنوره;309;46;155;200;15;46;50;80;164;140;215;1;0
10;1437;المدينه المنوره;294;30;177;147;40;50;110;35;89;192;132;1;0
11;1437;المدينه المنوره;254;61;154;161;40;85;90;60;40;149;166;1;0
12;1437;المدينه المنوره;278;46;177;147;25;60;121;87;31;194;130;1;0
1;1437;الشرقيه;264;166;207;223;24;119;110;108;69;249;181;1;0
2;1437;الشرقيه;448;101;334;215;34;168;145;123;79;357;192;1;0
3;1437;الشرقيه;341;117;267;191;36;154;133;81;54;311;147;1;0
4;1437;الشرقيه;386;111;295;202;29;164;136;103;65;340;157;1;0
5;1437;الشرقيه;361;62;267;156;21;145;112;89;56;270;153;1;0
6;1437;الشرقيه;312;79;228;163;33;131;120;66;41;301;90;1;0
7;1437;الشرقيه;284;85;213;156;26;114;106;79;44;238;131;1;0
8;1437;الشرقيه;310;69;215;164;16;127;109;78;49;234;145;1;0
9;1437;الشرقيه;250;40;110;180;38;59;95;73;25;190;100;1;0
10;1437;الشرقيه;241;94;211;124;63;126;81;44;21;190;145;1;0
11;1437;الشرقيه;245;129;216;158;50;141;94;56;33;218;156;1;0
12;1437;الشرقيه;291;107;207;191;39;123;120;84;32;238;160;1;0
1;1437;الحدود الشماليه;45;7;28;24;15;16;11;7;3;36;16;1;0
2;1437;الحدود الشماليه;45;2;22;25;9;18;12;6;2;41;6;1;0
3;1437;الحدود الشماليه;44;18;28;34;21;19;13;8;1;58;4;1;0
4;1437;الحدود الشماليه;70;9;26;53;12;29;28;4;6;62;17;1;0
5;1437;الحدود الشماليه;67;11;24;54;15;33;19;7;4;66;12;1;0
6;1437;الحدود الشماليه;39;5;18;26;14;22;3;3;2;36;8;1;0
7;1437;الحدود الشماليه;47;2;29;20;18;16;14;1;0;40;9;1;0
8;1437;الحدود الشماليه;35;2;20;17;5;14;10;7;1;28;9;1;0
9;1437;الحدود الشماليه;47;3;24;26;9;6;26;7;2;26;24;1;0
10;1437;الحدود الشماليه;36;8;10;34;6;14;14;6;4;37;7;1;0
11;1437;الحدود الشماليه;32;6;28;10;14;6;7;6;5;30;8;1;0
12;1437;الحدود الشماليه;45;6;30;21;9;26;8;4;4;30;21;1;0
1;1437;تبوك;186;28;86;128;27;90;61;28;8;158;56;1;0
2;1437;تبوك;124;33;62;95;26;54;56;17;4;118;39;1;0
3;1437;تبوك;155;15;73;97;15;71;47;22;15;136;34;1;0
4;1437;تبوك;106;12;37;81;21;36;39;14;8;90;28;1;0
5;1437;تبوك;123;25;53;95;28;40;46;25;9;117;31;1;0
6;1437;تبوك;108;13;41;80;9;50;33;23;6;83;38;1;0
7;1437;تبوك;99;24;39;84;18;39;37;22;7;82;41;1;0
8;1437;تبوك;146;13;102;57;24;44;52;29;10;109;50;1;0
9;1437;تبوك;118;11;45;84;21;39;42;20;7;89;40;1;0
10;1437;تبوك;86;32;30;88;18;26;38;26;10;76;42;1;0
11;1437;تبوك;114;29;42;101;25;30;49;28;11;97;46;1;0
12;1437;تبوك;110;14;36;88;19;45;39;19;2;89;35;1;0
1;1437;الجوف;35;5;16;24;10;14;11;5;0;29;11;1;0
2;1437;الجوف;57;7;30;34;17;19;14;11;3;52;12;1;0
3;1437;الجوف;24;6;7;23;7;15;3;2;3;22;8;1;0
4;1437;الجوف;36;1;14;23;16;13;7;1;0;26;11;1;0
5;1437;الجوف;39;4;21;22;5;11;17;7;3;33;10;1;0
6;1437;الجوف;35;0;23;12;7;8;12;5;3;32;3;1;0
7;1437;الجوف;50;3;31;22;14;16;19;4;0;42;11;1;0
8;1437;الجوف;47;10;21;36;12;25;13;7;0;51;6;1;0
9;1437;الجوف;63;6;39;30;12;25;24;5;3;45;24;1;0
10;1437;الجوف;42;6;4;44;4;8;15;10;11;24;24;1;0
11;1437;الجوف;41;5;11;35;7;4;17;10;8;24;22;1;0
12;1437;الجوف;48;4;32;20;10;21;10;2;9;42;10;1;0
1;1437;حائل;82;15;56;41;5;35;26;23;8;87;10;1;0
2;1437;حائل;77;8;41;44;6;27;22;19;11;63;22;1;0
3;1437;حائل;81;6;43;44;6;28;23;19;11;65;22;1;0
4;1437;حائل;82;9;56;35;4;27;24;20;16;81;10;1;0
5;1437;حائل;71;9;65;15;5;36;21;14;4;68;12;1;0
6;1437;حائل;56;10;41;25;2;30;19;10;5;55;11;1;0
7;1437;حائل;71;11;45;37;2;35;24;14;7;73;9;1;0
8;1437;حائل;77;8;50;35;1;32;29;18;5;78;7;1;0
9;1437;حائل;65;6;44;27;2;27;19;16;7;62;9;1;0
10;1437;حائل;66;9;32;43;2;27;23;15;8;59;16;1;0
11;1437;حائل;43;13;20;36;3;21;16;10;6;46;10;1;0
12;1437;حائل;56;1;33;24;2;21;15;11;8;50;7;1;0
1;1437;نجران;24;1;14;11;6;15;3;1;0;8;17;1;0
2;1437;نجران;54;3;35;22;17;30;6;3;1;27;30;1;0
3;1437;نجران;56;2;35;23;20;32;4;2;0;30;28;1;0
4;1437;نجران;27;6;22;11;8;16;7;2;0;12;21;1;0
5;1437;نجران;33;3;20;16;10;16;9;1;0;14;22;1;0
6;1437;نجران;45;3;32;16;11;15;12;10;0;24;24;1;0
7;1437;نجران;52;6;40;18;12;18;15;13;0;35;23;1;0
8;1437;نجران;66;7;24;49;15;21;18;16;3;26;47;1;0
9;1437;نجران;58;36;28;66;21;24;23;20;6;30;64;1;0
10;1437;نجران;55;8;18;45;18;22;10;8;5;26;37;1;0
11;1437;نجران;69;6;14;61;24;26;13;9;3;29;46;1;0
12;1437;نجران;78;8;17;69;9;34;24;13;6;41;45;1;0
1;1437;القصيم;105;13;54;64;14;51;29;16;8;74;44;1;0
2;1437;القصيم;153;12;116;49;36;58;51;16;4;86;79;1;0
3;1437;القصيم;103;15;82;36;19;41;46;8;4;55;63;1;0
4;1437;القصيم;110;12;72;50;18;42;45;15;2;60;62;1;0
5;1437;القصيم;104;10;53;61;13;44;46;9;2;61;53;1;0
6;1437;القصيم;105;14;66;53;16;38;45;14;6;56;63;1;0
7;1437;القصيم;87;12;57;42;19;32;36;7;5;36;63;1;0
8;1437;القصيم;101;18;73;46;23;37;48;7;4;47;72;1;0
9;1437;القصيم;100;20;62;58;22;40;44;8;6;50;70;1;0
10;1437;القصيم;148;15;90;73;38;52;61;8;4;49;114;1;0
11;1437;القصيم;112;17;79;50;14;55;33;19;8;77;52;1;0
12;1437;القصيم;115;12;76;51;27;48;43;6;3;49;78;1;0
1;1437;الباحه;91;13;55;49;17;54;23;2;8;77;27;1;0
2;1437;الباحه;116;20;61;75;23;64;32;9;8;112;24;1;0
3;1437;الباحه;90;17;55;52;18;53;23;8;5;77;30;1;0
4;1437;الباحه;61;13;48;26;13;30;22;7;2;64;10;1;0
5;1437;الباحه;95;23;67;51;16;50;39;9;4;99;19;1;0
6;1437;الباحه;80;11;50;41;11;39;23;11;7;60;31;1;0
7;1437;الباحه;106;13;70;49;8;64;29;12;6;95;24;1;0
8;1437;الباحه;94;9;44;59;10;56;22;13;2;76;27;1;0
9;1437;الباحه;57;13;48;22;13;39;13;5;0;50;20;1;0
10;1437;الباحه;93;3;54;42;12;41;28;11;4;75;21;1;0
11;1437;الباحه;104;19;50;73;8;68;32;8;7;107;16;1;0
12;1437;الباحه;76;10;33;53;16;40;19;5;6;76;10;1;0
1;1437;عسير;185;51;13;223;58;112;38;13;15;203;33;1;0
2;1437;عسير;167;24;16;175;36;102;31;11;11;148;43;1;0
3;1437;عسير;175;45;17;203;59;80;37;21;23;160;60;1;0
4;1437;عسير;175;49;13;211;53;84;40;21;26;181;43;1;0
5;1437;عسير;149;36;16;169;30;96;38;6;15;134;51;1;0
6;1437;عسير;152;28;10;170;46;82;27;13;12;149;31;1;0
7;1437;عسير;171;20;19;172;35;97;36;11;12;151;40;1;0
8;1437;عسير;172;51;7;216;52;96;29;17;29;178;45;1;0
9;1437;عسير;162;43;5;200;56;96;29;16;8;152;53;1;0
10;1437;عسير;189;47;5;231;63;90;40;19;24;195;41;1;0
11;1437;عسير;188;34;27;195;60;93;37;18;14;184;38;1;0
12;1437;عسير;196;32;19;209;58;94;50;13;13;165;63;1;0
1;1437;جازان;157;46;97;106;24;56;83;24;16;138;65;1;0
2;1437;جازان;143;41;81;103;27;51;66;23;17;79;105;1;0
3;1437;جازان;192;18;20;190;36;57;63;27;27;158;52;1;0
4;1437;جازان;163;21;19;165;24;51;58;29;22;129;55;1;0
5;1437;جازان;168;31;35;164;34;55;61;31;18;138;61;1;0
6;1437;جازان;140;36;61;115;34;44;51;30;17;123;53;1;0
7;1437;جازان;174;21;82;113;23;57;65;32;18;129;66;1;0
8;1437;جازان;197;42;38;201;31;67;79;46;16;152;87;1;0
9;1437;جازان;34;136;43;127;27;33;42;25;43;147;23;1;0
10;1437;جازان;123;39;59;103;23;42;61;27;9;57;105;1;0
11;1437;جازان;141;14;32;123;13;42;29;52;19;101;54;1;0
12;1437;جازان;150;32;66;116;23;45;67;31;16;110;72;1;0
1;1437;جده;257;62;171;148;38;89;76;59;57;188;131;1;0
2;1437;جده;277;88;159;206;41;101;95;64;64;179;186;1;0
3;1437;جده;267;64;209;122;38;94;86;59;54;157;174;1;0
4;1437;جده;273;51;147;177;34;101;77;61;51;151;173;1;0
5;1437;جده;260;50;159;151;46;107;62;52;43;159;151;1;0
6;1437;جده;282;42;167;157;61;91;65;51;56;153;171;1;0
7;1437;جده;197;47;132;112;35;87;55;41;26;118;126;1;0
8;1437;جده;277;31;140;168;41;89;71;65;42;137;171;1;0
9;1437;جده;269;28;146;151;24;95;79;54;45;146;151;1;0
10;1437;جده;280;28;127;181;19;159;72;35;23;173;135;1;0
11;1437;جده;260;43;144;159;37;77;85;65;39;175;128;1;0
12;1437;جده;243;39;148;134;31;98;79;50;24;148;134;1;0
1;1437;الطائف;346;91;176;261;65;166;136;45;25;273;164;1;0
2;1437;الطائف;331;104;166;269;45;88;210;55;37;318;117;1;0
3;1437;الطائف;311;128;129;310;36;85;229;45;44;348;91;1;0
4;1437;الطائف;395;82;210;267;60;123;153;109;32;331;146;1;0
5;1437;الطائف;421;95;231;285;85;92;163;112;64;352;164;1;0
6;1437;الطائف;450;83;254;279;116;125;160;112;20;386;147;1;0
7;1437;الطائف;489;86;186;389;69;136;175;134;61;422;153;1;0
8;1437;الطائف;344;46;112;278;66;123;94;71;36;249;141;1;0
9;1437;الطائف;493;123;244;372;75;148;177;151;65;278;338;1;0
10;1437;الطائف;310;61;298;73;35;99;185;40;12;258;113;1;0
11;1437;الطائف;327;67;180;214;36;91;122;84;61;258;136;1;0
12;1437;الطائف;290;81;153;218;31;121;142;47;30;262;109;1;0
1;1437;العاصمه;213;24;147;90;29;55;89;42;22;152;85;1;0
2;1437;العاصمه;237;58;213;82;35;100;83;49;28;200;95;1;0
3;1437;العاصمه;212;44;112;144;33;57;90;52;24;167;89;1;0
4;1437;العاصمه;256;58;120;194;41;102;98;48;25;203;111;1;0
5;1437;العاصمه;172;19;67;124;24;51;56;38;22;107;84;1;0
6;1437;العاصمه;169;74;91;152;27;51;47;44;74;143;100;1;0
7;1437;العاصمه;183;55;102;136;21;62;78;41;36;147;91;1;0
8;1437;العاصمه;207;35;101;141;30;70;67;49;26;151;91;1;0
9;1437;العاصمه;284;67;129;222;41;64;83;69;94;217;134;1;0
10;1437;العاصمه;228;63;131;160;43;106;80;48;14;171;120;1;0
11;1437;العاصمه;171;23;88;106;29;62;45;38;20;105;89;1;0
12;1437;العاصمه;219;43;114;148;27;59;80;64;32;132;130;1;0
1;1437;القريات;28;1;15;14;6;13;6;2;2;22;7;1;0
2;1437;القريات;39;15;27;27;13;17;11;6;7;39;15;1;0
3;1437;القريات;22;3;10;15;2;15;6;2;0;19;6;1;0
4;1437;القريات;15;1;10;6;3;8;3;1;1;14;2;1;0
5;1437;القريات;18;3;2;19;3;10;6;1;1;14;7;1;0
6;1437;القريات;20;0;6;14;2;10;2;6;0;14;6;1;0
7;1437;القريات;38;5;32;11;9;15;13;2;4;32;11;1;0
