الشهر;سنة;المدينة;ذكور;أناث;داخل المدينه;خارج المدينه;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;سعودى;غير سعودى;المصابين;المتوفين
1;1437;الرياض;91;6;49;48;15;31;40;5;6;56;41;0;1
2;1437;الرياض;93;9;52;50;14;33;34;9;12;66;36;0;1
3;1437;الرياض;101;2;61;42;15;35;29;13;11;52;51;0;1
4;1437;الرياض;116;10;53;73;21;42;35;15;13;62;64;0;1
5;1437;الرياض;81;12;51;42;16;28;26;14;9;43;50;0;1
6;1437;الرياض;97;17;43;71;14;37;34;18;11;61;53;0;1
7;1437;الرياض;122;16;52;86;37;44;40;5;12;69;69;0;1
8;1437;الرياض;91;10;51;50;15;35;40;7;4;50;51;0;1
9;1437;الرياض;151;11;69;93;24;43;56;22;17;66;96;0;1
10;1437;الرياض;124;4;54;74;22;52;29;10;15;47;81;0;1
11;1437;الرياض;108;18;49;77;26;24;37;23;16;61;65;0;1
12;1437;الرياض;131;9;67;73;32;38;39;14;17;74;66;0;1
1;1437;المدينه المنوره;57;6;22;41;3;6;14;20;20;27;36;0;1
2;1437;المدينه المنوره;50;12;14;48;4;15;25;10;8;28;34;0;1
3;1437;المدينه المنوره;50;11;24;37;10;17;20;6;8;24;37;0;1
4;1437;المدينه المنوره;56;11;13;54;12;15;20;14;6;35;32;0;1
5;1437;المدينه المنوره;42;18;18;42;6;9;17;12;16;25;35;0;1
6;1437;المدينه المنوره;71;21;19;73;9;20;25;21;17;37;55;0;1
7;1437;المدينه المنوره;44;17;14;47;9;12;17;15;8;29;32;0;1
8;1437;المدينه المنوره;43;15;13;45;6;10;16;14;12;30;28;0;1
9;1437;المدينه المنوره;82;17;17;82;5;20;15;20;39;88;11;0;1
10;1437;المدينه المنوره;61;13;17;57;3;10;35;18;8;24;50;0;1
11;1437;المدينه المنوره;41;7;14;34;5;10;15;13;5;28;20;0;1
12;1437;المدينه المنوره;58;19;9;68;5;10;28;15;19;36;41;0;1
1;1437;الشرقيه;94;11;94;11;8;31;28;32;6;52;53;0;1
2;1437;الشرقيه;88;16;37;67;11;27;37;21;8;59;45;0;1
3;1437;الشرقيه;97;16;34;79;9;36;37;19;12;72;41;0;1
4;1437;الشرقيه;92;10;40;62;9;33;34;19;7;57;45;0;1
5;1437;الشرقيه;84;6;32;58;6;28;31;18;7;45;45;0;1
6;1437;الشرقيه;92;10;32;70;13;35;26;23;5;54;48;0;1
7;1437;الشرقيه;77;8;34;51;5;31;28;16;5;47;38;0;1
8;1437;الشرقيه;67;10;29;48;7;31;26;9;4;46;31;0;1
9;1437;الشرقيه;65;19;47;37;5;25;30;10;14;45;39;0;1
10;1437;الشرقيه;74;14;37;51;11;31;27;12;7;39;49;0;1
11;1437;الشرقيه;60;10;29;41;5;28;17;15;5;42;28;0;1
12;1437;الشرقيه;81;12;39;54;6;31;35;14;7;54;39;0;1
1;1437;الحدود الشماليه;14;0;3;11;1;4;4;4;1;10;4;0;1
2;1437;الحدود الشماليه;15;0;2;13;4;3;6;2;0;9;6;0;1
3;1437;الحدود الشماليه;13;2;10;5;1;5;4;3;2;11;4;0;1
