الشهر;سنة;المدينة;ذكور;أناث;داخل المدينه;خارج المدينه;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;سعودى;غير سعودى;المصابين;المتوفين
1;1439;الرياض;95;5;54;46;9;38;27;12;14;46;54;0;1
2;1439;الرياض;93;5;57;41;9;38;25;14;12;46;52;0;1
3;1439;الرياض;94;11;49;56;22;13;35;24;11;59;46;0;1
4;1439;الرياض;85;6;46;45;29;22;19;13;8;49;42;0;1
5;1439;الرياض;95;1;51;45;15;35;26;12;8;52;44;0;1
6;1439;الرياض;89;7;47;49;35;33;10;13;5;41;55;0;1
7;1439;الرياض;67;16;34;49;22;19;29;9;4;44;39;0;1
8;1439;الرياض;66;9;28;47;11;23;20;14;7;42;33;0;1
9;1439;الرياض;75;7;42;40;12;28;25;12;5;34;48;0;1
10;1439;الرياض;92;8;52;48;21;40;19;15;5;55;45;0;1
11;1439;الرياض;60;5;20;45;13;21;15;9;7;28;37;0;1
12;1439;الرياض;93;7;43;57;16;37;29;8;10;53;47;0;1
1;1439;المدينه المنوره;37;6;12;31;5;8;9;11;10;23;20;0;1
2;1439;المدينه المنوره;36;9;20;25;5;9;11;7;13;15;30;0;1
3;1439;المدينه المنوره;27;9;7;29;2;5;11;8;10;18;18;0;1
4;1439;المدينه المنوره;37;5;11;31;4;10;13;8;7;29;13;0;1
5;1439;المدينه المنوره;16;5;9;12;2;5;6;4;4;7;14;0;1
6;1439;المدينه المنوره;29;7;11;25;6;11;7;6;6;21;15;0;1
7;1439;المدينه المنوره;25;10;2;33;6;9;8;5;7;15;20;0;1
8;1439;المدينه المنوره;19;4;7;16;6;11;5;1;0;10;13;0;1
9;1439;المدينه المنوره;60;13;11;62;12;17;16;14;14;25;48;0;1
10;1439;المدينه المنوره;49;6;10;45;8;15;14;9;9;25;30;0;1
11;1439;المدينه المنوره;26;13;10;29;7;13;7;4;8;13;26;0;1
12;1439;المدينه المنوره;29;6;4;31;5;13;7;5;5;14;21;0;1
1;1439;الشرقيه;58;4;15;47;6;23;16;10;7;34;28;0;1
2;1439;الشرقيه;65;4;23;46;6;26;19;8;10;35;34;0;1
3;1439;الشرقيه;54;4;17;41;4;19;14;12;9;35;23;0;1
4;1439;الشرقيه;67;12;23;56;11;29;22;7;10;43;36;0;1
