"الرياض","","عــد د الأشخاص المصابين حسب الجنس","","عدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","279.0","31.0","310.0","233.0","77.0","310.0","65.0","94.0","125.0","15.0","11.0","310.0","172.0","138.0","310.0"
"صفر","245.0","93.0","338.0","223.0","115.0","338.0","61.0","89.0","82.0","63.0","43.0","338.0","204.0","134.0","338.0"
"ربيع أول","244.0","89.0","333.0","244.0","89.0","333.0","59.0","88.0","85.0","59.0","42.0","333.0","187.0","146.0","333.0"
"ربيع ثانى","303.0","36.0","339.0","208.0","131.0","339.0","61.0","89.0","81.0","64.0","44.0","339.0","177.0","162.0","339.0"
"جمادى أول","294.0","29.0","323.0","227.0","96.0","323.0","56.0","84.0","79.0","62.0","42.0","323.0","158.0","165.0","323.0"
"جمادى ثانى","306.0","37.0","343.0","200.0","143.0","343.0","91.0","87.0","83.0","63.0","19.0","343.0","195.0","148.0","343.0"
"رجب","344.0","33.0","377.0","258.0","119.0","377.0","36.0","144.0","131.0","36.0","30.0","377.0","177.0","200.0","377.0"
"شعبان","337.0","45.0","382.0","252.0","130.0","382.0","26.0","163.0","131.0","39.0","23.0","382.0","209.0","173.0","382.0"
"رمضان","423.0","46.0","469.0","225.0","244.0","469.0","108.0","146.0","136.0","44.0","35.0","469.0","205.0","264.0","469.0"
"شوال","314.0","35.0","349.0","207.0","142.0","349.0","32.0","106.0","55.0","142.0","14.0","349.0","194.0","155.0","349.0"
"ذى القعدة","254.0","22.0","276.0","187.0","89.0","276.0","46.0","68.0","83.0","49.0","30.0","276.0","149.0","127.0","276.0"
"ذى الحجة","330.0","38.0","368.0","208.0","160.0","368.0","68.0","132.0","111.0","34.0","23.0","368.0","169.0","199.0","368.0"
"المجموع","3673.0","534.0","4207.0","2672.0","1535.0","4207.0","709.0","1290.0","1182.0","670.0","356.0","4207.0","2196.0","2011.0","4207.0"
"المدينه المنوره","","عــد د الأشخاص المصابين حسب الجنس","","عــدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أنا ث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","298.0","43.0","341.0","186.0","155.0","341.0","2.0","30.0","98.0","145.0","66.0","341.0","160.0","181.0","341.0"
"صفر","337.0","41.0","378.0","240.0","138.0","378.0","20.0","90.0","120.0","87.0","61.0","378.0","206.0","172.0","378.0"
"ربيع أول","286.0","71.0","357.0","217.0","140.0","357.0","50.0","120.0","65.0","82.0","40.0","357.0","220.0","137.0","357.0"
"ربيع ثانى","265.0","69.0","334.0","163.0","171.0","334.0","44.0","78.0","69.0","93.0","50.0","334.0","148.0","186.0","334.0"
"جمادى أول","293.0","44.0","337.0","154.0","183.0","337.0","55.0","68.0","81.0","70.0","63.0","337.0","168.0","169.0","337.0"
