"الرياض- عدد الأشخاص المصابين حسب الجنس","","","","عدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","364.0","29.0","393.0","291.0","102.0","393.0","66.0","97.0","126.0","73.0","31.0","393.0","213.0","180.0","393.0"
"صفر","387.0","46.0","433.0","276.0","157.0","433.0","44.0","117.0","145.0","79.0","48.0","433.0","271.0","162.0","433.0"
"ربيع أول","361.0","94.0","455.0","284.0","171.0","455.0","115.0","124.0","108.0","89.0","19.0","455.0","278.0","177.0","455.0"
"ربيع ثانى","378.0","49.0","427.0","295.0","132.0","427.0","132.0","119.0","103.0","51.0","22.0","427.0","238.0","189.0","427.0"
"جمادى أول","311.0","47.0","358.0","262.0","96.0","358.0","61.0","111.0","89.0","52.0","45.0","358.0","207.0","151.0","358.0"
"جمادى ثانى","321.0","58.0","379.0","264.0","115.0","379.0","105.0","102.0","66.0","80.0","26.0","379.0","238.0","141.0","379.0"
"رجب","345.0","38.0","383.0","250.0","133.0","383.0","104.0","94.0","102.0","59.0","24.0","383.0","231.0","152.0","383.0"
"شعبان","350.0","43.0","393.0","273.0","120.0","393.0","58.0","98.0","122.0","84.0","31.0","393.0","236.0","157.0","393.0"
"رمضان","306.0","29.0","335.0","245.0","90.0","335.0","50.0","121.0","89.0","45.0","30.0","335.0","164.0","171.0","335.0"
"شوال","330.0","54.0","384.0","235.0","149.0","384.0","79.0","149.0","100.0","30.0","26.0","384.0","256.0","128.0","384.0"
"ذى القعدة","263.0","50.0","313.0","231.0","82.0","313.0","69.0","60.0","79.0","62.0","43.0","313.0","161.0","152.0","313.0"
"ذى الحجة","263.0","38.0","301.0","188.0","113.0","301.0","48.0","72.0","63.0","84.0","34.0","301.0","163.0","138.0","301.0"
"المجموع","3979.0","575.0","4554.0","3094.0","1460.0","4554.0","931.0","1264.0","1192.0","788.0","379.0","4554.0","2656.0","1898.0","4554.0"
"المدينه المنوره- عــد د الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أنا ث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","155.0","21.0","176.0","79.0","97.0","176.0","15.0","36.0","47.0","41.0","37.0","176.0","96.0","80.0","176.0"
"صفر","165.0","22.0","187.0","85.0","102.0","187.0","22.0","40.0","42.0","47.0","36.0","187.0","88.0","99.0","187.0"
"ربيع أول","201.0","26.0","227.0","82.0","145.0","227.0","41.0","47.0","46.0","52.0","41.0","227.0","111.0","116.0","227.0"
"ربيع ثانى","151.0","41.0","192.0","62.0","130.0","192.0","25.0","38.0","50.0","42.0","37.0","192.0","105.0","87.0","192.0"
"جمادى أول","179.0","29.0","208.0","114.0","94.0","208.0","35.0","39.0","55.0","41.0","38.0","208.0","97.0","111.0","208.0"
"جمادى ثانى","218.0","41.0","259.0","109.0","150.0","259.0","50.0","69.0","52.0","49.0","39.0","259.0","135.0","124.0","259.0"
"رجب","215.0","37.0","252.0","111.0","141.0","252.0","31.0","57.0","63.0","59.0","42.0","252.0","140.0","112.0","252.0"
"شعبان","157.0","33.0","190.0","79.0","111.0","190.0","29.0","61.0","39.0","42.0","19.0","190.0","107.0","83.0","190.0"
"رمضان","236.0","79.0","315.0","85.0","230.0","315.0","62.0","68.0","74.0","50.0","61.0","315.0","119.0","196.0","315.0"
"شوال","180.0","53.0","233.0","94.0","139.0","233.0","44.0","56.0","63.0","39.0","31.0","233.0","86.0","147.0","233.0"
"ذى القعدة","156.0","42.0","198.0","65.0","133.0","198.0","39.0","63.0","49.0","32.0","15.0","198.0","83.0","115.0","198.0"
"ذى الحجة","191.0","38.0","229.0","75.0","154.0","229.0","41.0","68.0","56.0","37.0","27.0","229.0","111.0","118.0","229.0"
"المجموع","2204.0","462.0","2666.0","1040.0","1626.0","2666.0","434.0","642.0","636.0","531.0","423.0","2666.0","1278.0","1388.0","2666.0"
"الشرقيه- عــدد الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عــدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أنا ث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","134.0","84.0","218.0","142.0","76.0","218.0","26.0","58.0","65.0","43.0","26.0","218.0","120.0","98.0","218.0"
"صفر","195.0","79.0","274.0","186.0","88.0","274.0","31.0","83.0","69.0","53.0","38.0","274.0","129.0","145.0","274.0"
"ربيع أول","179.0","92.0","271.0","158.0","113.0","271.0","29.0","87.0","76.0","48.0","31.0","271.0","155.0","116.0","271.0"
"ربيع ثانى","205.0","89.0","294.0","186.0","108.0","294.0","37.0","98.0","75.0","46.0","38.0","294.0","176.0","118.0","294.0"
"جمادى أول","182.0","56.0","238.0","162.0","76.0","238.0","29.0","71.0","65.0","38.0","35.0","238.0","153.0","85.0","238.0"
"جمادى ثانى","181.0","48.0","229.0","168.0","61.0","229.0","28.0","68.0","61.0","42.0","30.0","229.0","161.0","68.0","229.0"
"رجب","215.0","52.0","267.0","216.0","51.0","267.0","31.0","79.0","68.0","49.0","40.0","267.0","188.0","79.0","267.0"
"شعبان","223.0","53.0","276.0","134.0","142.0","276.0","26.0","74.0","86.0","62.0","28.0","276.0","185.0","91.0","276.0"
"رمضان","176.0","42.0","218.0","122.0","96.0","218.0","21.0","68.0","57.0","48.0","24.0","218.0","132.0","86.0","218.0"
"شوال","172.0","52.0","224.0","108.0","116.0","224.0","11.0","68.0","55.0","59.0","31.0","224.0","138.0","86.0","224.0"
"ذى القعدة","168.0","44.0","212.0","84.0","128.0","212.0","19.0","65.0","53.0","51.0","24.0","212.0","127.0","85.0","212.0"
"ذى الحجة","179.0","69.0","248.0","98.0","150.0","248.0","31.0","79.0","57.0","52.0","29.0","248.0","143.0","105.0","248.0"
"المجموع","2209.0","760.0","2969.0","1764.0","1205.0","2969.0","319.0","898.0","787.0","591.0","374.0","2969.0","1807.0","1162.0","2969.0"
"الحـــدو د الشماليه- عــدد الأشخاص المصابين حسب الجنس","","","","عــدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكـور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","26.0","2.0","28.0","10.0","18.0","28.0","4.0","10.0","9.0","5.0","0.0","28.0","18.0","10.0","28.0"
"صفر","33.0","9.0","42.0","18.0","24.0","42.0","4.0","27.0","7.0","2.0","2.0","42.0","36.0","6.0","42.0"
"ربيع أول","24.0","4.0","28.0","9.0","19.0","28.0","3.0","14.0","10.0","1.0","0.0","28.0","20.0","8.0","28.0"
"ربيع ثانى","35.0","7.0","42.0","16.0","26.0","42.0","11.0","16.0","10.0","3.0","2.0","42.0","32.0","10.0","42.0"
"جمادى أول","26.0","0.0","26.0","10.0","16.0","26.0","10.0","9.0","3.0","4.0","0.0","26.0","19.0","7.0","26.0"
"جمادى ثانى","30.0","2.0","32.0","15.0","17.0","32.0","7.0","11.0","10.0","3.0","1.0","32.0","23.0","9.0","32.0"
"رجب","41.0","2.0","43.0","16.0","27.0","43.0","5.0","18.0","11.0","7.0","2.0","43.0","31.0","12.0","43.0"
"شعبان","29.0","1.0","30.0","16.0","14.0","30.0","6.0","9.0","11.0","2.0","2.0","30.0","24.0","6.0","30.0"
"رمضان","38.0","7.0","45.0","21.0","24.0","45.0","11.0","19.0","13.0","1.0","1.0","45.0","32.0","13.0","45.0"
"شوال","40.0","7.0","47.0","22.0","25.0","47.0","10.0","13.0","15.0","5.0","4.0","47.0","37.0","10.0","47.0"
"ذى القعدة","22.0","1.0","23.0","6.0","17.0","23.0","4.0","6.0","8.0","5.0","0.0","23.0","13.0","10.0","23.0"
"ذى الحجة","32.0","10.0","42.0","11.0","31.0","42.0","14.0","11.0","9.0","8.0","0.0","42.0","19.0","23.0","42.0"
"المجموع","376.0","52.0","428.0","170.0","258.0","428.0","89.0","163.0","116.0","46.0","14.0","428.0","304.0","124.0","428.0"
"تبوك- عــدد الأشخاص المصابين حسب الجنس","","","","عدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","85.0","6.0","91.0","40.0","51.0","91.0","7.0","51.0","28.0","4.0","1.0","91.0","66.0","25.0","91.0"
"صفر","73.0","3.0","76.0","28.0","48.0","76.0","4.0","34.0","22.0","9.0","7.0","76.0","57.0","19.0","76.0"
"ربيع أول","115.0","14.0","129.0","44.0","85.0","129.0","22.0","54.0","31.0","12.0","10.0","129.0","107.0","22.0","129.0"
"ربيع ثانى","63.0","4.0","67.0","20.0","47.0","67.0","7.0","27.0","18.0","7.0","8.0","67.0","52.0","15.0","67.0"
"جمادى أول","77.0","15.0","92.0","22.0","70.0","92.0","12.0","24.0","36.0","9.0","11.0","92.0","68.0","24.0","92.0"
"جمادى ثانى","76.0","8.0","84.0","14.0","70.0","84.0","11.0","31.0","29.0","8.0","5.0","84.0","56.0","28.0","84.0"
"رجب","52.0","5.0","57.0","14.0","43.0","57.0","10.0","29.0","11.0","4.0","3.0","57.0","45.0","12.0","57.0"
"شعبان","73.0","4.0","77.0","26.0","51.0","77.0","9.0","35.0","15.0","8.0","10.0","77.0","64.0","13.0","77.0"
"رمضان","67.0","15.0","82.0","12.0","70.0","82.0","16.0","29.0","17.0","9.0","11.0","82.0","56.0","26.0","82.0"
"شوال","62.0","11.0","73.0","18.0","55.0","73.0","6.0","14.0","30.0","13.0","10.0","73.0","58.0","15.0","73.0"
"ذى القعدة","49.0","13.0","62.0","12.0","50.0","62.0","7.0","13.0","16.0","12.0","14.0","62.0","41.0","21.0","62.0"
"ذى الحجة","79.0","8.0","87.0","25.0","62.0","87.0","8.0","19.0","23.0","21.0","16.0","87.0","62.0","25.0","87.0"
"المجموع","871.0","106.0","977.0","275.0","702.0","977.0","119.0","360.0","276.0","116.0","106.0","977.0","732.0","245.0","977.0"
"الجوف- عـــدد الأشخاص المصابين حسب الجنس","","","","عـدد الأشخاص المصابين حسب المكان","","","عدد الأشخاص المصابين حسب العمر","","","","","","عدد الأشخاص المصابين حسب الجنسيه","",""
"الشهر","ذكور","أناث","المجموع","داخل المدينه","خارج المدينه","المجموع","أقل من 18","من18 إلى 30","من 30 على 40","من40إلى50","من50فأكثر","المجموع","سعودى","غير سعودى","المجموع"
"محرم","30.0","4.0","34.0","8.0","26.0","34.0","7.0","11.0","11.0","4.0","1.0","34.0","24.0","10.0","34.0"
"صفر","30.0","6.0","36.0","12.0","24.0","36.0","9.0","11.0","12.0","4.0","0.0","36.0","32.0","4.0","36.0"
"ربيع أول","20.0","5.0","25.0","19.0","6.0","25.0","7.0","8.0","9.0","0.0","1.0","25.0","15.0","10.0","25.0"
"ربيع ثانى","18.0","2.0","20.0","5.0","15.0","20.0","6.0","8.0","4.0","2.0","0.0","20.0","18.0","2.0","20.0"
"جمادى أول","18.0","2.0","20.0","6.0","14.0","20.0","0.0","10.0","6.0","4.0","0.0","20.0","14.0","6.0","20.0"
"جمادى ثانى","20.0","3.0","23.0","4.0","19.0","23.0","4.0","7.0","9.0","3.0","0.0","23.0","19.0","4.0","23.0"
"رجب","17.0","4.0","21.0","4.0","17.0","21.0","2.0","4.0","8.0","7.0","0.0","21.0","12.0","9.0","21.0"
"شعبان","25.0","2.0","27.0","10.0","17.0","27.0","7.0","9.0","5.0","6.0","0.0","27.0","17.0","10.0","27.0"
"رمضان","25.0","1.0","26.0","3.0","23.0","26.0","3.0","10.0","13.0","0.0","0.0","26.0","16.0","10.0","26.0"
"شوال","21.0","5.0","26.0","3.0","23.0","26.0","6.0","9.0","5.0","5.0","1.0","26.0","20.0","6.0","26.0"
"ذى القعدة","16.0","3.0","19.0","5.0","14.0","19.0","4.0","10.0","4.0","1.0","0.0","19.0","18.0","1.0","19.0"
"ذى الحجة","26.0","11.0","37.0","11.0","26.0","37.0","4.0","10.0","10.0","11.0","2.0","37.0","25.0","12.0","37.0"
"المجموع","266.0","48.0","314.0","90.0","224.0","314.0","59.0","107.0","96.0","47.0","5.0","314.0","230.0","84.0","314.0"
